ADM3_PCODE,ADM0_EN,ADM0_FR,ADM0_RW,ADM0_SW,ADM0_PCODE,ADM1_EN,ADM1_FR,ADM1_RW,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,ADM3ALT1EN
RW2805,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Mugina,RW2805,
RW2806,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Musambira,RW2806,
RW2807,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Ngamba,RW2807,
RW2808,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Nyamiyaga,RW2808,
RW2809,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Nyarubaka,RW2809,
RW2810,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Rugarika,RW2810,Rugalika
RW2811,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Rukoma,RW2811,
RW2812,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Southern Province,Province du Sud,Amajyepfo,RW2,Kamonyi,RW28,Runda,RW2812,
RW3101,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Bwishyura,RW3101,
RW3102,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Gashari,RW3102,Gishari
RW3103,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Gishyita,RW3103,
RW3104,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Gitesi,RW3104,
RW3105,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Mubuga,RW3105,
RW3106,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Murambi,RW3106,
RW3107,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Murundi,RW3107,
RW3108,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Mutuntu,RW3108,
RW3109,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Rubengera,RW3109,
RW3110,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Rugabano,RW3110,
RW3111,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Ruganda,RW3111,
RW3112,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Rwankuba,RW3112,
RW3113,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Karongi,RW31,Twumba,RW3113,
RW3201,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rutsiro,RW32,Boneza,RW3201,
RW3202,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rutsiro,RW32,Gihango,RW3202,
RW3203,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rutsiro,RW32,Kigeyo,RW3203,
RW3204,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rutsiro,RW32,Kivumu,RW3204,
RW3205,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rutsiro,RW32,Manihira,RW3205,
RW3206,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rutsiro,RW32,Mukura,RW3206,
RW3207,Rwanda,Rwanda (le),U Rwanda,Rwanda,RW,Western Province,Province de l'Ouest,Iburengerazuba,RW3,Rutsiro,RW32,Murunda,RW3207,
